Taken_product_Yes,Yearly_avg_view_on_travel_page,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,montly_avg_comment_on_company_page,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page,preferred_device_Android,preferred_device_Laptop,preferred_device_Mobile,preferred_device_Other,preferred_device_Tab,preferred_device_iOS,member_in_family_10,member_in_family_2,member_in_family_3,member_in_family_4,member_in_family_5,following_company_page_No,following_company_page_Yes,working_flag_Yes
1,0.5375000000000001,0.7151760354727315,0.0,0.2857142857142857,0.6702127659574468,0.26154492023509657,0.7272727272727273,0.0,0.0,0.0,0.02962962962962963,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.7250000000000001,0.12658615827867345,0.0,0.2857142857142857,0.3191489361702128,0.21625734676742236,0.09090909090909091,0.024539877300613498,1.0,0.3333333333333333,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
1,0.4437500000000001,0.9089887410858415,0.0,0.7857142857142857,0.648936170212766,0.056727539882451716,0.5454545454545454,0.008179959100204501,0.3333333333333333,0.0,0.02592592592592593,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,0.3500000000000001,0.9225770857598234,0.0,0.2857142857142857,0.26595744680851063,0.09970612930310661,0.09090909090909091,0.0,0.6666666666666667,0.0,0.02962962962962963,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
0,0.2093750000000001,0.34972108134616564,0.0,0.5714285714285714,0.09574468085106386,0.1290407220822838,0.8181818181818182,0.002044989775051128,1.0,0.3333333333333333,0.022222222222222223,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.328125,0.6458039600318763,0.0,0.2857142857142857,0.5106382978723404,0.10804995801847188,0.0,0.0040899795501022525,0.6666666666666667,0.0,0.02962962962962963,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
0,0.42500000000000004,0.8739451153476778,0.0,0.5714285714285714,0.5319148936170213,0.08716414777497901,0.36363636363636365,0.018404907975460124,0.0,1.0,0.044444444444444446,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
0,0.28125,0.5007458264369931,0.5517241379310345,0.2857142857142857,0.3829787234042553,0.08837111670864818,0.09090909090909091,0.022494887525562373,0.3333333333333333,0.3333333333333333,0.003703703703703704,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0,0.46875,0.08153006804389137,0.5172413793103449,0.2857142857142857,0.13829787234042556,0.4469458438287154,0.0,0.02044989775051125,0.3333333333333333,0.0,0.037037037037037035,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0,0.421875,0.8560657144608594,0.6551724137931034,0.0,0.6702127659574468,0.221872376154492,0.5454545454545454,0.0040899795501022525,0.3333333333333333,0.6666666666666666,0.06296296296296297,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
